source_id,ra,ra_error,dec,dec_error,l,b,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val
2605057476462920064,342.3326637351019,0.09693954052206195,-11.193873509122712,0.07461546074569109,56.032074825937364,-57.199690771272124,19.959075431356183,0.11150092901152715,16.6879,3.4608765,,,3839.9766
3460835757505879168,179.0168097383873,0.09938081336963248,-36.929930030359614,0.07394001449180625,290.7860514628393,24.632452930389036,19.959053333554063,0.13413957391117431,17.68244,0.8615837,,,
615468714732890112,150.92062914850075,0.07200775614907089,14.191133190624631,0.0816801289043463,222.62287441838455,48.90407868412615,19.959002987288432,0.08662219691327891,14.589653,2.8924217,,,3962.01
4043296025191348608,269.70604928675664,0.7351620668548101,-32.850447901482504,0.8062444145700864,358.0666045983232,-4.428114015415516,19.959000948336204,0.9105135191753062,18.601122,1.6490879,,,
4153467816022629248,273.9937918292756,1.0104073615141942,-12.910673392877829,1.282930125679943,17.417196601898198,1.8231748060271695,19.958984405505127,1.6837871622728846,19.901543,2.5119228,,,
6887656469242843392,310.37399413105936,1.7345380011337768,-13.64822942211606,0.7617559429422427,32.579734973044125,-30.473179315403556,19.958898689921654,1.6770028786193352,20.746052,1.0138149,,,
6346752716094442240,277.9570553066981,0.1289609668668854,-84.89672181790951,0.1361731475753515,308.61913254021704,-26.577686300422002,19.958797700806986,0.15410083791906082,11.127595,1.9014368,19.006413963011326,0.5508828221049179,4042.0
4162290331700114560,265.1188295199704,0.6255208323884737,-11.746802725280098,0.6901826164073966,14.14435363857891,9.94340518991732,19.958789737908127,0.8488155029130313,18.174215,1.734621,,,
1990086462544360576,343.2801325104528,0.11722248861895923,52.020898747879194,0.11661027826376333,105.12186904299553,-6.711846723192217,19.95877290713555,0.16052022909514713,17.762785,4.08193,,,
6413212563293453824,272.44593490360955,0.017951530802803345,-77.4442924849949,0.020191721415198944,316.4898999165845,-24.211640417592744,19.958363905603747,0.021679995391842132,11.9683,2.062787,-16.249824735923056,0.9834712977891561,3812.6667
4325589867363103872,247.17790405285234,0.0537302143245411,-15.419344906994466,0.020969471509515718,0.7360270869401442,22.2834876385015,19.95825389713517,0.06641480091711426,9.600583,1.1830387,9.307496344512485,0.34809790686348835,4871.47
5831945192850481280,245.81589263276263,2.0472814919694224,-58.741249818800256,0.9878908570638523,327.5633774847065,-6.40641368402013,19.95821830446799,3.670241341849825,20.690357,,,,
462876566891703296,46.9244721294428,0.46216406397879883,60.194720591700076,0.4206220977792736,139.10471287451912,1.6734957645207857,19.958129826738826,0.6337251975915054,14.7039585,2.8428183,,,3799.35
2684315016236748544,321.3968209482743,0.05211737435830698,-3.769629768339779,0.041074863080801514,49.010203785262505,-35.68040355991647,19.95803743539297,0.05818111766644671,14.106651,2.729188,,,4107.38
6820281038095342848,332.5412713295972,0.04852206865442891,-21.273817156617202,0.04095647741584949,33.03350879908435,-52.919073369043545,19.957997520597214,0.057391922419466064,12.443393,2.16362,,,4108.245
390973243779046400,7.674747911640626,0.0321739105114785,47.50219016954962,0.018197013404545374,119.30446180118062,-15.22343708215225,19.957924140553832,0.0353832231107351,10.53678,1.4290018,3.2854866402119836,0.25727196585962187,4576.625
1824821244932670592,295.7714463351651,1.424471041564474,19.060862035456605,2.0211151594994075,55.71514917422045,-2.2383000888566187,19.957811710456877,2.8690577922249467,20.767918,1.9482727,,,
1807460471697497600,298.9425021677295,1.307081113055778,14.676786965298026,1.2294811125336251,53.44073486368486,-7.063981348681555,19.957804716346782,2.1787588494061487,20.714699,1.1855011,,,
6197602902930240512,226.1874288112635,1.4950313850011956,-39.39518239596604,1.1198743764531303,329.22734487714604,16.574555508914678,19.957777838461546,1.4986024514765783,19.731564,1.3656693,,,
4059218641417114624,259.6951784304042,0.040920844114656706,-29.768468062970072,0.03195072410008602,356.1065099086635,4.444926045744433,19.957747873169453,0.045419572964085386,12.263929,1.9657965,-5.686667813575763,0.6926538334097418,4057.673
2018852542913191552,291.1043444243455,1.3982725313727962,21.662517665098726,1.4801806412444194,55.87289713672996,2.849195816042688,19.957741892657197,2.5748327158525726,20.18242,2.0484123,,,
695764537082147584,140.3941969375682,0.05194193633078204,29.435894732967274,0.035494227629846976,197.1305197589123,44.13202441824559,19.95772206264815,0.07399642662791163,13.714175,2.4702082,-11.801375598524785,5.461103945159318,3840.9766
5179619856194590080,45.10806980823104,0.11187186366901994,-7.782055351602751,0.08081432004372027,186.60634052407798,-53.853345059624175,19.957718565807347,0.12343218820590005,15.128503,3.4177723,,,3830.6025
6897549767495980416,319.869784282198,0.04442304548962396,-8.81095527126785,0.037612993817930346,42.634493908966746,-36.81685148005588,19.95719092910824,0.05104876226705607,12.110516,2.0659466,-48.71901183400733,0.8445061504774903,4045.24
2927433323665888384,106.2188362895126,1.278740436463895,-23.980645440126622,1.9761671659588746,235.87657727340564,-7.913298400591579,19.957181113273663,2.7352237601385507,20.887348,1.6638279,,,
5663830930092402688,146.2682814786531,1.562029512518345,-22.294993307905482,1.3156647002100488,255.96683395913666,23.134359701189677,19.95713013240659,1.666709942625695,20.280823,2.379673,,,
5836298399923689600,242.01465773092784,1.0491367115467403,-55.88407073945184,0.5887692248674441,328.0726029928375,-2.9261957614049217,19.957085816333496,1.258676300907305,19.559315,1.4865227,,,
6056203955302923392,196.37378077949137,0.020515356820058468,-59.28050364188401,0.02368791866244512,304.7297530997218,3.5421672852371873,19.95700831747185,0.032284984873403366,9.013035,1.0202265,20.97707989710115,0.2930605841672099,5176.8
5328610897304026496,132.50549121422844,1.5351574184976122,-48.62039528743642,1.9877477883120664,267.81369940990777,-2.9312831544012705,19.95700035951099,2.1882509696904293,20.38248,1.5299644,,,
4092812501260011776,277.5039333917976,1.1030684544864697,-19.71456290640979,0.8528865943597482,12.977903081968837,-4.336864039053134,19.956961212760003,1.2515032064844678,19.931448,1.5076084,,,
1823409437622500224,301.0005318423447,0.6358413964119978,19.799900789494885,0.599649269309303,58.87825965074366,-6.100000259100916,19.956948451891062,1.0393528060067003,17.473581,1.4187031,,,
2322506180947943040,6.536587176419949,0.04622472649357622,-27.291206730279733,0.03534921174369711,29.826941518363366,-84.37504598540434,19.956873929725436,0.05953014732963596,13.458053,2.4438515,,,3854.5735
